weather,time_of_day,emotion,movie,music,food
clouds,night,happy,Forrest Gump,Show tunes,Ice cream
rainy,morning,sad,Up,Pop classics,Apple pie
clear,afternoon,neutral,Inside Out,Soft piano playlist,Hot chocolate
clouds,evening,angry,Interstellar,Lo-fi beats,Tea and cookies
rainy,night,fear,The Dark Knight,Heavy Metal,Spicy Curry
clear,morning,disgust,Parasite,Experimental,Herbal Tea
clouds,afternoon,surprise,Amélie,Alternative,Salad
rainy,evening,happy,Forrest Gump,Show tunes,Ice cream
clear,night,sad,Up,Pop classics,Apple pie
clouds,morning,neutral,Inside Out,Soft piano playlist,Hot chocolate
rainy,afternoon,angry,Interstellar,Lo-fi beats,Tea and cookies
clear,evening,fear,The Dark Knight,Heavy Metal,Spicy Curry
clouds,night,disgust,Parasite,Experimental,Herbal Tea
rainy,morning,surprise,Amélie,Alternative,Salad
clear,afternoon,happy,Forrest Gump,Show tunes,Ice cream
clouds,evening,sad,Up,Pop classics,Apple pie
rainy,night,neutral,Inside Out,Soft piano playlist,Hot chocolate
clear,morning,angry,Interstellar,Lo-fi beats,Tea and cookies
clouds,afternoon,fear,The Dark Knight,Heavy Metal,Spicy Curry
rainy,evening,disgust,Parasite,Experimental,Herbal Tea
clear,night,surprise,Amélie,Alternative,Salad
clouds,morning,happy,Forrest Gump,Show tunes,Ice cream
rainy,afternoon,sad,Up,Pop classics,Apple pie
clear,evening,neutral,Inside Out,Soft piano playlist,Hot chocolate
clouds,night,angry,Interstellar,Lo-fi beats,Tea and cookies
rainy,morning,fear,The Dark Knight,Heavy Metal,Spicy Curry
clear,afternoon,disgust,Parasite,Experimental,Herbal Tea
clouds,evening,surprise,Amélie,Alternative,Salad
rainy,night,happy,Forrest Gump,Show tunes,Ice cream
clear,morning,sad,Up,Pop classics,Apple pie
clouds,afternoon,neutral,Inside Out,Soft piano playlist,Hot chocolate
rainy,evening,angry,Interstellar,Lo-fi beats,Tea and cookies
clear,night,fear,The Dark Knight,Heavy Metal,Spicy Curry
clouds,morning,disgust,Parasite,Experimental,Herbal Tea
rainy,afternoon,surprise,Amélie,Alternative,Salad
clear,evening,happy,Forrest Gump,Show tunes,Ice cream
clouds,night,sad,Up,Pop classics,Apple pie 
